street,total_volume
BELT PARKWAY,3678943
HAMILTON AVENUE BRIDGE,3367369
BROADWAY,3191212
BROOKLYN BRIDGE,2543973
FLATBUSH AVENUE,2489581
HOOK CREEK BRIDGE,2028516
BROOKLYN QUEENS EXPRESSWAY,1779241
CROSS BRONX EXPRESSWAY,1768460
BELT PARKWAY EXIT 25 A NB,1747026
GRAND CENTRAL PARKWAY,1641763
ALEXANDER HAMILTON BRIDGE,1564289
JACKIE ROBINSON PARKWAY,1541394
LINDEN BLVD,1530267
EASTERN BLVD BR,1494895
NEW ENGLAND THRWY,1483774
LINDEN BOULEVARD,1476964
MAJOR DEEGAN EXPRESSWAY,1400262
PULASKI BRIDGE,1399381
FRESH KILLS BRIDGE,1378781
W/B MILL BASIN BRIDGE @ BELT PKWY,1365318
F D R DRIVE,1362939
ATLANTIC AVENUE,1348742
NORTH CHANNEL BRIDGE,1313243
CROPSEY AVENUE BRIDGE,1277571
BRUCKNER EXPRESSWAY,1221111
12 AVENUE,1214272
SUNRISE HIGHWAY,1194178
LONG ISLAND EXPRESSWAY,1154792
EAST FORDHAM ROAD,1114312
NEW ENGLAND THRUWAY,1091566
KOSCIUSZKO BRIDGE,1081863
MANHATTAN BRIDGE,1048514
BRONX RIVER PARKWAY,1038135
FDR DRIVE @ EAST 63 ST ENTRANCE,1022478
E/B KOSCIUSZKO BRIDGE @ TO L.I.E.,1016239
MERRICK BOULEVARD,957437
UNIVERSITY HEIGHTS BRIDGE,951639
F D R DR,942094
N/B MAJOR DEEGAN EXPWY @ CITY LINE,933481
2 AVENUE,917673
W/B EASTERN BLVD BRIDGE@BRONX RIVER AVE,914961
BOSTON ROAD,903755
NORTHERN BOULEVARD,901332
WOODHAVEN BOULEVARD,901201
3 AVENUE,893591
3 AV BR,892769
111 STREET,885769
AVENUE OF THE AMERICAS,870475
MADISON AVENUE BRIDGE,869061
JACKIE ROBINSON PY,841391
